,Date,Tweet
37,2022-07-27 16:07:30+00:00,The media is a click-seeking machine dressed up as a truth-seeking machine
38,2022-07-27 15:40:27+00:00,This is compatible with existing religions – surely God would want us to see Creation?
39,2022-07-27 15:38:48+00:00,"A new philosophy of the future is needed. I believe it should be curiosity about the Universe – expand humanity to become a multiplanet, then interstellar, species to see what’s out there."
40,2022-07-27 15:32:22+00:00,@sama A new philosophy of the future is needed
41,2022-07-27 14:41:43+00:00,"@heydave7 @WSJ @michaelsiconolf Moreover, I talked to Sergey yesterday and he says neither he nor anyone he knows has talked to WSJ"
42,2022-07-27 14:31:15+00:00,"@heydave7 @WSJ As a “public person”, standard to win a defamation lawsuit against a news org is almost impossible. They could say I’m Satan and the “source” is their psychic!

Nicole is not a public person, so could win. I hope she sues them. @michaelsiconolf has done so many fake hit pieces."
43,2022-07-27 02:40:54+00:00,@teslaownersSV @PPathole Seriously
44,2022-07-27 02:37:36+00:00,@PPathole Business Insider (Trading) is not a real publication
45,2022-07-27 02:15:30+00:00,"@GailAlfarATX @chicago_glenn @michaelsiconolf @KirstenGrind @EmilyGlazer Yeah, but that was 8000 years ago"
46,2022-07-27 02:06:37+00:00,@PPathole @michaelsiconolf @KirstenGrind @EmilyGlazer That would be nice
47,2022-07-27 01:52:45+00:00,@TrungTPhan @chicago_glenn @michaelsiconolf @KirstenGrind @EmilyGlazer 🤣🤣 Exactly
48,2022-07-27 01:43:29+00:00,"@chicago_glenn @michaelsiconolf @KirstenGrind @EmilyGlazer Weirdly, some publications still print millions of paper copies every day!"
49,2022-07-27 01:40:54+00:00,"@chicago_glenn @michaelsiconolf @KirstenGrind @EmilyGlazer 99% of journalism is reading someone else’s story on the Internet, changing it up a little &amp; pressing send"
50,2022-07-27 01:20:11+00:00,"@michaelsiconolf @KirstenGrind @EmilyGlazer Sickonolfi has zero journalistic integrity
https://t.co/gOjDQEOmwJ"
51,2022-07-26 16:11:20+00:00,@jeffskoll Thanks Jeff 💕
52,2022-07-26 15:53:34+00:00,@SPACEdotcom Bon voyage
53,2022-07-26 15:39:30+00:00,@michaelsiconolf @KirstenGrind @EmilyGlazer Sickonolfi’s pack of attack chihuahuas are burning up phone lines today for revenge after his bogus article 🤣🤣
54,2022-07-26 10:46:30+00:00,@dogeofficialceo @MarceloPLima 🤣
55,2022-07-26 10:34:44+00:00,@MarceloPLima Exactly
56,2022-07-26 04:41:41+00:00,"@SawyerMerritt @heydave7 @WholeMarsBlog @WSJ Good point, will do"
57,2022-07-25 22:37:15+00:00,"The amount of attention on me has gone supernova, which super sucks. Unfortunately, even trivial articles about me generate a lot of clicks :(

Will try my best to be heads down focused on doing useful things for civilization."
58,2022-07-25 20:46:46+00:00,@PPathole @michaelsiconolf @KirstenGrind @EmilyGlazer Mostly just that the media is a click maximizing machine and a story involving me gets a lot of clicks
59,2022-07-25 20:40:56+00:00,All Teslas come with a free karaoke app https://t.co/mZa3WmhyPL
60,2022-07-25 18:59:51+00:00,Das Baby would be a hit!
61,2022-07-25 18:16:29+00:00,@jhall The media is a click-seeking machine dressed up as a truth-seeking machine
62,2022-07-25 18:03:34+00:00,"@michaelsiconolf @KirstenGrind @EmilyGlazer ______, ______ your 👖 are on 🔥 https://t.co/Ioq3EGOQj3"
63,2022-07-25 18:00:01+00:00,@dvorahfr @chicago_glenn @SawyerMerritt @michaelsiconolf Sure seems that way
64,2022-07-25 17:37:05+00:00,@SawyerMerritt The real problem here is that @michaelsiconolf has zero journalistic integrity
65,2022-07-25 17:25:26+00:00,@SawyerMerritt A picture is worth 1000 tweets
66,2022-07-25 17:20:53+00:00,"@SawyerMerritt Yeah, that was Sergey and me yesterday afternoon!"
67,2022-07-25 13:20:13+00:00,"Single-piece casting reduces weight, greatly simplifies factory, increases ride quality &amp; reduces road noise https://t.co/hJw4KLpfDg"
68,2022-07-25 13:01:20+00:00,@GailAlfarATX @TeslaSolar @Tesla @douglewinenergy @DimaZeniuk @EvaFoxU @DirtyTesLa @WholeMarsBlog @Kristennetten @BrosForDecarb Good article
69,2022-07-25 06:10:38+00:00,What video games have you enjoyed most over past year or two?
70,2022-07-25 04:44:41+00:00,@60Minutes More evidence for the simulation
71,2022-07-25 04:35:06+00:00,@stevenmarkryan @WholeMarsBlog 🤣👍
72,2022-07-25 04:04:27+00:00,"Movie idea: Boss Baby meets Das Boot
Das Baby – “Hijinks on the High Seas!”"
73,2022-07-25 02:58:04+00:00,@ICannot_Enough @WholeMarsBlog Lmaooo absolutely 🤣🤣
74,2022-07-25 02:57:17+00:00,@lovemesomemusk @WholeMarsBlog Nope
75,2022-07-25 02:32:57+00:00,"@teslaownersSV @heydave7 @WholeMarsBlog @WSJ Call them out on it, I guess. WSJ is supposed to have a high standard for journalism and, right now, they are way sub tabloid.

WSJ should be running stories that actually matter to their readers and have solid factual basis, not third-party random hearsay."
76,2022-07-25 02:24:00+00:00,"@heydave7 @WholeMarsBlog @WSJ WSJ has run so many bs hit pieces on me and Tesla I’ve lost count! It’s embarrassing for them, frankly.

They once wrote an article saying FBI was about to arrest me, so I called FBI to ask what’s up and they said WSJ article was total bs.

Just more shortseller fud."
77,2022-07-25 02:09:07+00:00,@WholeMarsBlog Haven’t even had sex in ages (sigh)
78,2022-07-25 02:07:14+00:00,"@TeslaHype @WholeMarsBlog Yeah, the character assassination attacks have reached a new level this year, but the articles are all nothing-burgers. 

I work crazy hours, so there just isn’t much time for shenanigans.

None of the key people involved in these alleged wrongdoings were even interviewed!"
79,2022-07-25 01:59:31+00:00,"@WholeMarsBlog This is total bs. Sergey and I are friends and were at a party together last night!

I’ve only seen Nicole twice in three years, both times with many other people around. Nothing romantic."
80,2022-07-25 01:55:25+00:00,Ironic that Disney would disparage an entire class of rodents when their main character is a rodent – jealous maybe?
